Mass,MolecularFormula,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
149.0243854,C8H6O3,cpd:C02137,alpha-Oxo-benzeneacetic acid;Benzoylformate;Benzoylformic acid;Phenylglyoxylic acid;Phenylglyoxylate;2-Oxo-2-phenylacetate,C8H6O3,Phenylalanine metabolism;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.1.1.379;1.1.1.-;1.1.99.31;1.2.1.58;3.1.2.25;4.1.1.7,R01764 R02450 R03790 R03792 R03793 R07294 R07664
149.0243854,C8H6O3,cpd:C03057,2-Carboxybenzaldehyde;Phthalaldehydic acid;o-Formylbenzoic acid;2-Formylbenzoic acid;2-Formylbenzoate,C8H6O3,Polycyclic aromatic hydrocarbon degradation;Microbial metabolism in diverse environments,NA,NA,1.2.1.78;4.1.2.34,R03465 R05643 R07713
149.0243854,C8H6O3,cpd:C10812,Piperonal,C8H6O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C00642,4-Hydroxyphenylacetate;4-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,1.2.1.5;1.2.1.29;1.2.1.39;1.2.1.53;1.2.3.13;1.14.13.18;1.14.14.9;4.1.1.83;6.2.1.-,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790;R07312
151.040039,C8H8O3,cpd:C00755,4-Hydroxy-3-methoxy-benzaldehyde;Vanillin;Vanillaldehyde;4-Hydroxy-3-methoxybenzaldehyde,C8H8O3,Aminobenzoate degradation;Biosynthesis of various secondary metabolites - part 2;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,NA,NA,1.1.3.38;1.2.1.67;1.2.3.9;1.11.1.16;1.13.11.43;1.13.11.88;2.6.1.119;4.1.2.61,R00043 R02877 R05273 R05699 R05773 R11503 R12302 R12566;R12622
151.040039,C8H8O3,cpd:C01983,(R)-Mandelate;(R)-2-Hydroxy-2-phenylacetic acid;(R)-2-Hydroxy-2-phenylacetate;(R)-Mandelic acid,C8H8O3,Aminobenzoate degradation;Microbial metabolism in diverse environments,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05C IRRIGATING SOLUTIONS;    B05CA Antiinfectives;     B05CA06 Mandelic acid;      C01983  (R)-Mandelate; J ANTIINFECTIVES FOR SYSTEMIC USE;  J01 ANTIBACTERIALS FOR SYSTEMIC USE;   J01X OTHER ANTIBACTERIALS;    J01XX Other antibacterials;     J01XX06 Mandelic acid;      C01983  (R)-Mandelate,1.1.1.379;3.5.1.86;5.1.2.2,R03790 R03791 R05783
151.040039,C8H8O3,cpd:C01984,(S)-Mandelate;(S)-2-Hydroxy-2-phenylacetic acid;(S)-2-Hydroxy-2-phenylacetate;(S)-Mandelic acid,C8H8O3,Aminobenzoate degradation;Microbial metabolism in diverse environments,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05C IRRIGATING SOLUTIONS;    B05CA Antiinfectives;     B05CA06 Mandelic acid;      C01984  (S)-Mandelate; J ANTIINFECTIVES FOR SYSTEMIC USE;  J01 ANTIBACTERIALS FOR SYSTEMIC USE;   J01X OTHER ANTIBACTERIALS;    J01XX Other antibacterials;     J01XX06 Mandelic acid;      C01984  (S)-Mandelate,1.1.1.-;1.1.99.31;1.14.16.6;5.1.2.2,R03791 R03792 R03793 R03794 R07664
151.040039,C8H8O3,cpd:C02181,Phenoxyacetate;Phenoxyacetic acid,C8H8O3,NA,NA,NA,NA,NA
151.040039,C8H8O3,cpd:C02519,4-Methoxybenzoate;4-Methoxybenzoic acid;4-Anisic acid,C8H8O3,Benzoate degradation;Degradation of aromatic compounds,NA,NA,1.14.99.15,R01306
151.040039,C8H8O3,cpd:C02639,3-Methoxytropolone,C8H8O3,NA,NA,NA,NA,NA
