Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K00001,566,129,106,56,140,31,0,42,153,243,20,14,115,27,0,153,92,71,228,60,14,57,3,3,0,80,472,220,265,81,69,104
KO:K00002,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00003,752,165,27,6,406,14,76,20,557,107,64,60,15,226,0,35,213,274,163,158,26,0,0,13,0,143,563,228,144,100,86,305
KO:K00004,30,0,0,0,18,24,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,14,4,9,0,0
KO:K00005,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
KO:K00006,0,0,0,0,0,0,0,0,0,0,14,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00007,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00008,132,79,25,32,55,164,311,31,53,95,197,276,57,12,56,64,31,27,17,108,120,17,0,5,7,91,288,196,93,312,38,58
KO:K00009,4,0,4,0,0,0,115,0,0,0,3,116,0,0,0,0,0,0,0,92,24,0,0,0,4,0,0,4,0,75,0,0
KO:K00010,53,13,0,0,50,84,28,0,27,29,20,4,10,46,0,0,32,0,0,24,5,17,0,0,3,5,55,63,9,0,2,5
KO:K00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0
KO:K00012,1291,463,124,204,507,61,125,154,487,515,314,126,179,389,154,230,415,436,449,541,217,96,8,45,88,469,569,489,335,293,275,590
KO:K00013,623,114,190,5,177,14,18,28,286,13,36,0,48,79,21,37,203,143,158,58,11,96,0,20,0,94,343,121,127,92,51,53
KO:K00014,75,62,14,3,185,0,0,10,84,34,85,0,0,77,10,16,9,50,247,36,24,178,0,0,0,55,39,51,47,73,27,93
KO:K00015,197,129,53,0,112,0,10,7,44,14,0,0,162,90,0,53,59,7,17,25,26,0,4,0,0,178,150,95,60,92,42,72
KO:K00016,75,10,0,0,52,0,43,5,24,13,0,0,0,19,0,4,1,4,21,11,0,0,0,0,0,31,132,30,3,10,32,31
KO:K00018,38,14,0,0,15,0,4,0,14,8,0,0,0,13,0,0,3,18,18,5,0,0,0,0,0,7,143,51,7,4,0,7
KO:K00019,508,159,59,33,470,65,17,117,533,219,55,27,60,115,44,0,25,178,97,108,0,2,11,0,0,296,166,260,163,106,38,279
KO:K00020,282,142,54,6,314,7,7,43,256,140,21,11,129,149,68,58,34,75,218,61,68,0,8,5,0,112,292,319,119,96,173,116
KO:K00021,5,7,3,0,27,0,12,0,12,13,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,10,64,52,0,58,0,25
KO:K00022,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0
KO:K00023,1651,806,157,112,554,418,7,197,1160,546,550,27,159,414,17,19,362,409,362,290,31,0,6,44,0,397,756,788,246,156,287,890
KO:K00024,1875,763,148,132,2870,354,191,15949,1031,737,554,185,195,434,35,167,284,465,355,547,71,46,4,21,4,479,1381,1132,470,656,342,1172
KO:K00025,11,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00026,0,0,0,24,0,17,101,0,0,5,51,278,0,0,0,0,0,0,0,63,0,0,0,0,0,0,7,0,0,154,3,160
KO:K00027,479,142,91,103,106,280,152,60,235,96,576,162,66,126,49,137,109,88,46,322,91,0,3,0,6,187,591,541,352,400,152,74
KO:K00029,1389,499,59,48,600,17,38,30,719,291,44,55,24,144,79,44,107,160,607,342,128,0,0,34,10,155,1039,1315,210,122,208,905
KO:K00030,221,63,11,8,87,0,93,54,191,103,39,120,177,92,0,85,235,33,32,199,25,0,8,9,0,15,133,47,45,95,24,130
KO:K00031,3994,1698,294,387,1456,765,341,311,2342,1313,1937,1905,282,1057,53,598,812,1114,1737,1608,251,153,10,210,25,845,1655,1591,798,823,505,1669
KO:K00032,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
KO:K00033,395,198,109,17,309,134,59,121,256,103,212,222,191,223,0,57,87,51,95,187,38,122,0,0,6,302,350,371,213,211,245,223
KO:K00034,772,185,122,20,155,0,0,251,835,660,22,0,249,77,0,27,60,101,9,21,24,0,0,5,9,546,217,44,44,43,107,121
KO:K00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,20,0,16,0
KO:K00036,3285,239,188,138,370,150,96,108,423,176,579,280,127,678,20,152,417,174,586,486,166,124,9,38,6,301,608,332,546,421,223,312
KO:K00038,8,4,11,0,15,0,0,0,3,22,0,5,0,0,0,0,0,0,0,28,3,0,0,0,0,19,57,95,16,9,13,21
KO:K00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,20,0
