SampleID,Condition,Time,Dataset
3300044942_P34SSC2_190917_f,PreDrought,6hr,metaT
3300044943_P34SSC2_190917_i,PreDrought,48hr,metaT
3300044944_P34SSC2_190917_c,PreDrought,0hr,metaT
3300044945_P34SSC2_191111_f,Drought,6hr,metaT
3300045458_P15SSC1_190915_i,PreDrought,48hr,metaT
3300045459_P15SSC1_191107_f,Drought,6hr,metaT
3300045460_P15SSC1_191107_i,Drought,48hr,metaT
3300045461_P24SSC2_190915_c,PreDrought,0hr,metaT
3300045462_P24SSC2_190915_f,PreDrought,6hr,metaT
3300045463_P24SSC2_190915_i,PreDrought,48hr,metaT
3300045464_P24SSC2_191109_c,Drought,0hr,metaT
3300045465_P24SSC2_191109_i,Drought,48hr,metaT
3300045466_P26SSC2_190918_c,PreDrought,0hr,metaT
3300045467_P26SSC2_190918_f,PreDrought,6hr,metaT
3300045468_P26SSC2_190918_i,PreDrought,48hr,metaT
3300045469_P26SSC2_191112_c,Drought,0hr,metaT
3300045470_P26SSC2_191112_f,Drought,6hr,metaT
3300045471_P35SSC1_191108_f,Drought,6hr,metaT
3300045472_P35SSC1_191108_i,Drought,48hr,metaT
3300045473_P26SSC2_191112_i,Drought,48hr,metaT
3300046191_P34SSC2_191111_c,Drought,0hr,metaT
3300048051_P15SSCI_191107_c,Drought,0hr,metaT
3300048052_P35SSC1_190914_c,PreDrought,0hr,metaT
3300048053_P35SSC1_190914_i,PreDrought,48hr,metaT
3300048054_P35SSC1_191108_c,Drought,0hr,metaT
3300048092_P11SSC1_190916_c,PreDrought,0hr,metaT
3300048093_P11SSC1_190916_f,PreDrought,6hr,metaT
3300048094_P11SSC1_190916_i,PreDrought,48hr,metaT
3300048095_P11SSC1_191119_f,Drought,6hr,metaT
3300048096_P11SSC1_191119_i,Drought,48hr,metaT
3300048099_P15SSC1_190912_c,PreDrought,0hr,metaT
3300048100_P15SSC1_190913_f,PreDrought,6hr,metaT
3300045925.metaG_drought_48,Drought,48hr,metaG
3300045978.metaG_drought_48,Drought,48hr,metaG
3300045953.metaG_drought_48,Drought,48hr,metaG
3300045926.metaG_drought_48,Drought,48hr,metaG
3300045946.metaG_drought_48,Drought,48hr,metaG
3300045931.metaG_drought_time0,Drought,0hr,metaG
3300045955.metaG_drought_time0,Drought,0hr,metaG
3300045936.metaG_drought_time0,Drought,0hr,metaG
3300045885.metaG_drought_time0,Drought,0hr,metaG
3300045977.metaG_drought_time0,Drought,0hr,metaG
3300045940.metaG_drought_time0,Drought,0hr,metaG
3300045884.metaG_drought_time6,Drought,6hr,metaG
3300045947.metaG_drought_time6,Drought,6hr,metaG
3300045927.metaG_drought_time6,Drought,6hr,metaG
3300045952.metaG_drought_time6,Drought,6hr,metaG
3300045964.metaG_drought_time6,Drought,6hr,metaG
3300045886.metaG_drought_time6,Drought,6hr,metaG
3300046482.metaG_drought_time6,Drought,6hr,metaG
3300045968.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045965.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045933.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045944.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045929.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045920.metaG_pre_drought_48,PreDrought,48rr,metaG
3300045928.metaG_pre_drought_time0,PreDrought,0rr,metaG
3300045945.metaG_pre_drought_time0,PreDrought,0rr,metaG
3300045910.metaG_pre_drought_time0,PreDrought,0rr,metaG
3300045941.metaG_pre_drought_time0,PreDrought,0rr,metaG
3300045966.metaG_pre_drought_time0,PreDrought,0rr,metaG
3300045975.metaG_pre_drought_time6,PreDrought,6rr,metaG
3300045934.metaG_pre_drought_time6,PreDrought,6rr,metaG
3300045932.metaG_pre_drought_time6,PreDrought,6rr,metaG
3300045930.metaG_pre_drought_time6,PreDrought,6rr,metaG
3300045967.metaG_pre_drought_time6,PreDrought,6rr,metaG
