SampleID,Condition,Time,Site
Soil_Drought_P11_Site1_0,Drought,t0,site1
Soil_Drought_P11_Site1_48,Drought,t48,site1
Soil_Drought_P11_Site1_6,Drought,t6,site1
Soil_Drought_P12_Site1_0_CTRL,Drought,t0,site1
Soil_Drought_P12_Site1_48_CTRL,Drought,t48,site1
Soil_Drought_P12_Site1_6_CTRL,Drought,t6,site1
Soil_Drought_P15_Site1_0,Drought,t0,site1
Soil_Drought_P15_Site1_48,Drought,t48,site1
Soil_Drought_P15_Site1_6,Drought,t6,site1
Soil_Drought_P24_Site2_0,Drought,t0,site2
Soil_Drought_P24_Site2_48,Drought,t48,site2
Soil_Drought_P24_Site2_6,Drought,t6,site2
Soil_Drought_P26_Site2_0,Drought,t0,site2
Soil_Drought_P26_Site2_48,Drought,t48,site2
Soil_Drought_P26_Site2_6,Drought,t6,site2
Soil_Drought_P34_Site3_0,Drought,t0,site3
Soil_Drought_P34_Site3_48,Drought,t48,site3
Soil_Drought_P34_Site3_6,Drought,t6,site3
Soil_Drought_P35_Site3_0,Drought,t0,site3
Soil_Drought_P35_Site3_48,Drought,t48,site3
Soil_Drought_P35_Site3_6,Drought,t6,site3
Soil_PreDrought_P11_Site1_0,PreDrought,t0,site1
Soil_PreDrought_P11_Site1_48,PreDrought,t48,site1
Soil_PreDrought_P11_Site1_6,PreDrought,t6,site1
Soil_PreDrought_P15_Site1_0,PreDrought,t0,site1
Soil_PreDrought_P15_Site1_48,PreDrought,t48,site1
Soil_PreDrought_P15_Site1_6,PreDrought,t6,site1
Soil_PreDrought_P24_Site2_0,PreDrought,t0,site2
Soil_PreDrought_P24_Site2_48,PreDrought,t48,site2
Soil_PreDrought_P24_Site2_6,PreDrought,t6,site2
Soil_PreDrought_P26_Site2_0,PreDrought,t0,site2
Soil_PreDrought_P26_Site2_48,PreDrought,t48,site2
Soil_PreDrought_P26_Site2_6,PreDrought,t6,site2
Soil_PreDrought_P34_Site3_0,PreDrought,t0,site3
Soil_PreDrought_P34_Site3_48,PreDrought,t48,site3
Soil_PreDrought_P34_Site3_6,PreDrought,t6,site3
Soil_PreDrought_P35_Site3_0,PreDrought,t0,site3
Soil_PreDrought_P35_Site3_48,PreDrought,t48,site3
Soil_PreDrought_P35_Site3_6,PreDrought,t6,site3
