Cluster,Condition,Time,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
drought.t0,drought,t0,ko01240,Biosynthesis of cofactors, 223/2648,  223/2648,2.5608968548824195e-64,9.168010740479061e-62,6.927899912681914e-62,K00012/K00059/K00077/K00097/K00103/K00128/K00208/K00226/K00228/K00230/K00231/K00254/K00275/K00278/K00287/K00355/K00382/K00435/K00452/K00453/K00457/K00463/K00486/K00568/K00595/K00600/K00606/K00609/K00610/K00643/K00647/K00652/K00762/K00763/K00767/K00768/K00788/K00789/K00793/K00794/K00796/K00798/K00826/K00831/K00833/K00858/K00859/K00867/K00868/K00873/K00878/K00939/K00940/K00941/K00946/K00949/K00950/K00953/K00954/K00963/K00966/K00969/K01012/K01053/K01077/K01113/K01195/K01432/K01465/K01491/K01495/K01497/K01556/K01579/K01591/K01599/K01633/K01661/K01664/K01665/K01698/K01719/K01737/K01749/K01756/K01772/K01809/K01845/K01885/K01911/K01916/K01918/K01919/K01920/K01935/K01937/K01938/K01939/K01950/K01955/K01956/K02169/K02170/K02188/K02189/K02224/K02226/K02227/K02228/K02229/K02230/K02231/K02232/K02233/K02259/K02302/K02303/K02304/K02372/K02492/K02495/K02496/K02548/K02549/K02551/K02552/K02619/K02823/K02858/K03146/K03147/K03149/K03150/K03151/K03153/K03179/K03182/K03183/K03185/K03186/K03342/K03394/K03474/K03517/K03525/K03635/K03637/K03638/K03639/K03644/K03707/K03750/K03793/K03795/K03800/K03801/K03809/K03831/K04487/K04719/K05884/K05895/K05928/K05934/K05936/K05979/K06034/K06042/K06134/K06215/K06897/K06982/K06989/K07072/K07130/K08097/K08281/K08310/K08679/K08680/K08681/K08973/K09007/K09458/K09680/K09698/K09722/K09733/K09882/K09883/K09903/K10977/K11212/K11540/K11752/K11753/K11754/K11781/K11782/K11783/K11784/K11785/K12234/K13038/K13039/K13421/K13541/K13542/K13543/K13950/K14652/K14654/K14941/K17744/K17828/K18240/K18285/K18286/K18482/K18800/K19221/K19222/K19267,223
drought.t0,drought,t0,ko01230,Biosynthesis of amino acids, 164/2648,  164/2648,3.3990617111251675e-61,6.08432046291405e-59,4.59767820925878e-59,K00003/K00013/K00014/K00030/K00031/K00052/K00053/K00058/K00133/K00134/K00145/K00147/K00150/K00215/K00220/K00265/K00266/K00286/K00290/K00500/K00548/K00549/K00600/K00611/K00615/K00616/K00619/K00620/K00640/K00641/K00651/K00674/K00765/K00766/K00789/K00800/K00812/K00813/K00817/K00818/K00821/K00826/K00831/K00832/K00850/K00872/K00873/K00891/K00927/K00928/K00930/K00931/K00948/K01079/K01089/K01243/K01438/K01439/K01476/K01496/K01523/K01586/K01609/K01620/K01622/K01623/K01624/K01626/K01647/K01649/K01652/K01653/K01657/K01658/K01681/K01687/K01689/K01693/K01695/K01696/K01697/K01703/K01704/K01705/K01713/K01714/K01733/K01735/K01736/K01738/K01739/K01750/K01752/K01754/K01755/K01758/K01760/K01778/K01783/K01803/K01807/K01808/K01814/K01817/K01834/K01914/K01915/K01940/K01953/K01958/K01959/K01960/K02203/K02204/K02500/K02501/K02502/K03785/K03786/K03856/K04093/K04486/K04517/K04518/K05602/K05827/K05828/K05829/K05830/K05831/K06001/K06208/K08093/K09011/K09065/K09758/K10206/K10977/K11358/K11645/K11755/K12339/K12524/K12526/K13498/K13503/K13810/K13829/K13831/K13832/K13853/K14152/K14155/K14170/K14187/K14260/K14267/K14682/K15633/K15634/K15635/K16306/K16370/K17217,164
drought.t0,drought,t0,ko01200,Carbon metabolism, 204/2648,  204/2648,1.9574859760858911e-53,2.33593326479583e-51,1.76517156440026e-51,K00018/K00023/K00024/K00027/K00029/K00030/K00031/K00033/K00034/K00036/K00058/K00074/K00116/K00121/K00122/K00123/K00124/K00126/K00127/K00131/K00134/K00140/K00148/K00150/K00161/K00162/K00163/K00164/K00169/K00170/K00171/K00172/K00174/K00175/K00176/K00177/K00200/K00201/K00202/K00203/K00209/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00248/K00261/K00281/K00282/K00283/K00297/K00317/K00320/K00382/K00577/K00600/K00605/K00615/K00616/K00625/K00626/K00627/K00640/K00658/K00672/K00830/K00831/K00844/K00845/K00850/K00851/K00855/K00863/K00873/K00874/K00886/K00925/K00926/K00927/K00948/K01006/K01007/K01053/K01057/K01070/K01079/K01086/K01455/K01491/K01499/K01595/K01601/K01602/K01610/K01622/K01623/K01624/K01625/K01637/K01638/K01647/K01676/K01677/K01678/K01679/K01681/K01689/K01690/K01715/K01738/K01752/K01754/K01782/K01783/K01803/K01807/K01808/K01810/K01825/K01834/K01847/K01848/K01849/K01895/K01902/K01903/K01938/K01958/K01959/K01960/K01961/K01962/K01963/K01965/K01966/K02160/K02203/K02437/K02446/K03388/K03389/K03390/K03396/K03737/K03738/K03781/K03841/K04835/K05299/K05606/K07404/K07516/K08093/K08318/K08691/K08692/K09709/K10713/K10714/K10944/K10945/K10946/K11261/K11263/K11517/K11532/K11645/K13788/K13810/K13831/K14028/K14067/K14083/K14446/K14447/K14448/K14449/K14469/K14470/K14472/K14534/K15016/K15019/K15024/K15052/K15230/K15231/K15232/K15633/K15634/K15635/K15916/K15918/K16306/K16370/K17829/K17865/K18119/K18122/K19268,204
drought.t0,drought,t0,ko02020,Two-component system, 215/2648,  215/2648,6.22193729565763e-33,5.568633879613578e-31,4.20799443416845e-31,K00027/K00066/K00244/K00245/K00246/K00247/K00370/K00371/K00373/K00374/K00404/K00405/K00406/K00407/K00410/K00411/K00412/K00413/K00425/K00426/K00575/K00626/K00990/K01034/K01035/K01051/K01077/K01113/K01179/K01425/K01467/K01546/K01547/K01548/K01644/K01791/K01915/K01991/K02040/K02106/K02259/K02313/K02398/K02402/K02403/K02405/K02406/K02472/K02488/K02490/K02491/K02556/K02584/K02650/K02657/K02658/K02659/K02660/K02667/K02668/K03092/K03406/K03407/K03408/K03412/K03413/K03415/K03563/K03620/K04751/K04771/K05874/K05966/K06281/K06282/K06596/K06598/K07165/K07260/K07636/K07637/K07638/K07640/K07641/K07642/K07644/K07645/K07646/K07649/K07652/K07653/K07654/K07657/K07658/K07659/K07660/K07661/K07662/K07663/K07664/K07665/K07666/K07667/K07668/K07669/K07670/K07671/K07673/K07675/K07678/K07679/K07683/K07684/K07685/K07688/K07689/K07690/K07692/K07693/K07696/K07705/K07708/K07709/K07710/K07711/K07712/K07713/K07714/K07715/K07716/K07720/K07768/K07774/K07776/K07777/K07778/K07783/K07787/K07788/K07789/K07792/K07793/K07794/K07795/K07798/K07799/K07806/K07810/K08082/K08083/K08372/K08641/K08738/K09474/K09696/K09697/K10001/K10002/K10003/K10004/K10125/K10126/K10255/K10715/K10914/K10941/K10942/K10943/K11103/K11357/K11383/K11384/K11443/K11444/K11617/K11618/K11688/K11689/K11690/K11712/K12340/K13040/K13486/K13487/K13488/K13489/K13490/K13491/K13584/K13587/K13588/K13589/K13598/K13599/K13815/K13816/K13924/K14205/K14979/K14980/K14981/K14986/K14987/K15011/K15012/K15861/K15862/K16692/K18351/K18352/K19620/K19621/K19641/K19661/K19668,215
drought.t0,drought,t0,ko00630,Glyoxylate and dicarboxylate metabolism, 70/2648,  70/2648,9.434695192231002e-27,6.755241757637397e-25,5.104666661901827e-25,K00015/K00018/K00023/K00024/K00042/K00090/K00104/K00122/K00123/K00124/K00126/K00127/K00281/K00282/K00283/K00284/K00382/K00600/K00605/K00626/K00830/K00865/K01091/K01432/K01433/K01455/K01458/K01577/K01601/K01602/K01608/K01625/K01637/K01638/K01647/K01681/K01816/K01847/K01848/K01849/K01895/K01915/K01965/K01966/K02437/K03418/K03779/K03780/K03781/K04835/K05606/K07130/K07246/K07248/K08691/K08692/K11263/K11472/K11473/K11517/K12972/K14067/K14446/K14447/K14448/K14449/K15918/K17865/K18123/K19268,70
drought.t0,drought,t0,ko00620,Pyruvate metabolism, 80/2648,  80/2648,2.0182277847084852e-26,1.2042092448760628e-24,9.099728783685629e-25,K00001/K00016/K00024/K00027/K00029/K00090/K00101/K00102/K00114/K00116/K00121/K00128/K00132/K00138/K00156/K00158/K00161/K00162/K00163/K00169/K00170/K00171/K00172/K00174/K00175/K00244/K00245/K00246/K00247/K00382/K00625/K00626/K00627/K00656/K00873/K00925/K01003/K01006/K01007/K01026/K01067/K01069/K01512/K01571/K01595/K01596/K01610/K01638/K01649/K01676/K01677/K01678/K01679/K01759/K01895/K01905/K01958/K01959/K01960/K01961/K01962/K01963/K02160/K03737/K03777/K03778/K04021/K04073/K07248/K10977/K11263/K12957/K12972/K13788/K13953/K13954/K13979/K14028/K15024/K18930,80
drought.t0,drought,t0,ko00520,Amino sugar and nucleotide sugar metabolism, 90/2648,  90/2648,3.5123657467742166e-25,1.7963241962073852e-23,1.357410521685675e-23,K00012/K00066/K00075/K00523/K00790/K00820/K00844/K00845/K00847/K00849/K00884/K00886/K00963/K00965/K00966/K00971/K00972/K00975/K00978/K00983/K00992/K01183/K01198/K01207/K01209/K01443/K01639/K01654/K01709/K01711/K01784/K01787/K01791/K01809/K01810/K01835/K01840/K01854/K02377/K02472/K02473/K02474/K02564/K02779/K02793/K02794/K02795/K02796/K02804/K03431/K04042/K05304/K06118/K07102/K07106/K07806/K08678/K08679/K09001/K10011/K10012/K11528/K12373/K12446/K12448/K12452/K12454/K13010/K13015/K13016/K13017/K13018/K13019/K13020/K13810/K15778/K15855/K15856/K15894/K15897/K15916/K15921/K16011/K16190/K16881/K17716/K18429/K18430/K18431/K18676,90
drought.t0,drought,t0,ko00362,Benzoate degradation, 67/2648,  67/2648,3.5400368553315854e-22,1.5841664927608845e-20,1.19709141028976e-20,K00074/K00217/K00252/K00446/K00448/K00449/K00481/K00626/K00632/K01031/K01032/K01055/K01075/K01607/K01615/K01617/K01666/K01692/K01782/K01821/K01825/K01856/K01857/K02554/K03381/K04073/K04098/K04100/K04101/K04105/K04107/K04108/K04109/K04110/K04112/K04113/K04114/K04115/K04116/K04117/K05549/K05550/K07104/K07516/K07535/K07536/K07537/K07538/K07539/K07823/K10216/K10217/K10218/K10219/K10220/K10221/K10621/K10622/K14333/K14727/K15511/K15512/K15513/K15514/K16173/K16514/K16515,67
drought.t0,drought,t0,ko00650,Butanoate metabolism, 68/2648,  68/2648,1.0797762197991312e-21,4.2951098520898776e-20,3.245643140214933e-20,K00004/K00019/K00023/K00074/K00100/K00132/K00135/K00169/K00170/K00171/K00172/K00174/K00175/K00209/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00248/K00626/K00656/K00823/K01027/K01028/K01029/K01034/K01035/K01039/K01040/K01574/K01575/K01580/K01615/K01640/K01641/K01652/K01653/K01692/K01715/K01782/K01799/K01825/K01896/K01907/K03366/K03737/K03821/K04073/K05973/K07246/K07250/K07516/K07518/K08318/K14534/K16871/K17829/K17865/K18009/K18119/K18122/K18224/K18369/K18372,68
drought.t0,drought,t0,ko00720,Carbon fixation pathways in prokaryotes, 68/2648,  68/2648,4.608146929394888e-21,1.6497166007233698e-19,1.2466250114257752e-19,K00024/K00031/K00169/K00170/K00171/K00172/K00174/K00175/K00176/K00177/K00239/K00240/K00241/K00242/K00244/K00245/K00246/K00247/K00297/K00625/K00626/K00925/K01006/K01007/K01491/K01595/K01676/K01677/K01678/K01679/K01681/K01847/K01848/K01849/K01895/K01902/K01903/K01938/K01958/K01959/K01960/K01961/K01962/K01963/K02160/K03737/K05299/K05606/K08691/K09709/K13788/K14449/K14469/K14470/K14472/K14534/K15016/K15019/K15024/K15052/K15230/K15231/K15232/K18593/K18594/K18602/K18603/K18604,68
